"","SoC","Novel"
"1",299.80290518827,299.207888795905
"2",1271.74577501892,1533.25992018585
"3",696.464884622922,731.54802165359
"4",997.011539870592,988.133569117478
"5",1104.83110770565,1225.30641586097
"6",817.299025802376,847.207782084501
"7",1114.28314189147,1172.31269259628
"8",1215.05948629126,1407.88567914836
"9",598.259991221391,591.921720036202
"10",721.197669824439,712.797421067092
"11",833.790474305525,1049.84536912985
"12",1060.21371129403,1335.11582774907
"13",1067.07769602389,1291.24469001929
"14",1179.92356792377,1286.85550089909
"15",1016.43795358742,1385.024381681
"16",1186.31939969129,1273.34769444429
"17",1172.16809239204,1463.64656598992
"18",1082.23797027582,1233.79984210683
"19",1019.86233315626,1209.93890898585
"20",984.729944126292,1002.81674320973
"21",954.142710856718,1021.9864998653
"22",1081.84170929855,1247.88181811443
"23",331.891033627064,326.269019482397
"24",1020.98922265757,1029.28061795724
"25",1191.86015060147,1364.47233523601
"26",1026.90758654231,1170.40724279222
"27",1018.41344399636,1247.35545660697
"28",1037.29591420005,1127.68216627784
"29",752.871334501345,788.397279009353
"30",913.049212287795,1002.57114543007
"31",1120.63664846858,1239.22370602384
"32",880.971790864637,945.67991840551
"33",1016.92044145343,1221.92794891974
"34",829.167847578759,827.358378436171
"35",1004.29729973156,1037.08317512309
"36",1112.55185225944,1150.95491864752
"37",622.805996746123,581.429216870581
"38",1137.78054279393,1195.13578159881
"39",1077.8005394031,1293.63237627565
"40",1129.07733866221,1311.02879863865
"41",832.606787278005,976.672509925796
"42",934.283540889754,981.440978511299
"43",1113.74390124945,1451.95298333711
"44",1135.00547402455,1281.5339736262
"45",1140.22378983142,1353.89948861352
"46",1005.82189865021,1089.43447437625
"47",1010.77697847014,1041.09238721095
"48",1015.2955763114,1128.46028940793
"49",1085.34184086063,1267.30515298865
"50",1009.23643694416,1124.53930511529
"51",1151.34160943887,1294.92657507728
"52",963.946419584921,1026.84624620429
"53",796.561560332068,813.463830719837
"54",959.816315604871,1024.36378022432
"55",765.60505825207,698.366363123025
"56",1077.49957001596,1212.77728162313
"57",1291.04824162549,1426.73296702009
"58",1187.03140183368,1356.53346816256
"59",1149.41471808546,1286.1507362325
"60",881.182320601622,918.31805788493
"61",1192.97053040687,1431.05901936431
"62",954.644653134738,971.559551273161
"63",1106.69174879796,1306.83052123022
"64",955.754824867185,1005.64150024538
"65",1049.53050649193,1209.58040145245
"66",770.227504525482,889.430831168892
"67",577.647331552241,571.293696573273
"68",986.466621730528,1070.16100354824
"69",766.943753367612,775.918398049529
"70",1071.01080483817,1174.59942889383
"71",1123.02522226457,1272.52947876406
"72",973.902883592748,1126.52685876272
"73",1143.19814783659,1151.25044553214
"74",1104.21749715386,1181.84367961082
"75",557.372663210216,535.579366066526
"76",1061.76860276403,1141.31480265526
"77",972.679671545309,1029.18127507694
"78",1066.13486336484,1129.14309340685
"79",951.100787607947,1185.03865850091
"80",986.299516843315,980.79738025766
"81",920.785852412529,948.930401135616
"82",705.112170761335,750.596861471983
"83",719.582308889182,720.062634011726
"84",1107.44247618527,1145.68790337615
"85",1016.18740059397,1276.89365171016
"86",1038.53206288128,1094.74394112185
"87",1092.39057568104,1236.23728693647
"88",1083.33114320163,1225.59511937401
"89",993.459056869479,1318.19138575264
"90",1010.37688094547,1063.34718575642
"91",960.690586154515,1057.2165852872
"92",1069.15929621707,1184.2460236493
"93",1207.49367259511,1350.41323127992
"94",770.640954761373,830.264926982093
"95",1188.75434478091,1239.24861054593
"96",1065.06241762764,1190.31339392084
"97",538.114467089756,544.979078045499
"98",1177.65890506085,1372.56381507982
"99",1006.72231316935,1054.67651520845
"100",1070.38236945072,1346.37211765159
"101",1098.93057280429,1376.3942558764
"102",1161.5812378165,1285.62235880928
"103",1018.81054196074,1103.97993292097
"104",1091.25297239601,1320.94453052895
"105",1061.10269297382,1095.0008538346
"106",1087.15938444575,1273.17807502939
"107",1118.04369105623,1326.72125121901
"108",1228.99281614653,1303.87808453951
"109",1008.25634953656,1124.82911212526
"110",1307.82054735406,1497.48508304607
"111",886.879059295866,948.05273246656
"112",1241.40571401384,1334.60129595442
"113",1181.25772577366,1411.79347780909
"114",828.510211974612,886.209946642903
"115",1129.62708745719,1185.90428248195
"116",1199.84174071359,1368.56260408588
"117",858.356850905566,969.252024830841
"118",1167.27253361095,1391.31767584736
"119",1142.0036848355,1294.09721923406
"120",972.775919750571,1112.6107459074
"121",1136.44510888452,1246.48043963203
"122",1151.79003888191,1235.0210353704
"123",1068.94368064688,1286.50418943979
"124",749.923243833487,753.295157057656
"125",1083.73284810339,1346.51267718564
"126",1166.12933505761,1378.6113072706
"127",904.97362025117,976.200013011273
"128",1054.15026328649,1113.11354698025
"129",1071.06150727403,1201.94543703536
"130",1347.9148229072,1532.7654988475
"131",569.200282510589,573.032717246753
"132",1031.92192252003,1298.24867139409
"133",806.935140447164,913.261696939803
"134",910.54746043446,890.316211490593
"135",935.037130660982,1163.83511506038
"136",1012.69286950019,1244.83452989047
"137",1187.89722542021,1284.42490859048
"138",978.150819737165,1054.40721903852
"139",935.634979320846,1042.4861048844
"140",1110.12774069683,1143.48763169728
"141",1149.51526696454,1251.97528425473
"142",1090.38752463713,1139.07353988134
"143",1128.76762003308,1185.41920411192
"144",1278.90471126076,1359.25165670372
"145",1088.94865344593,1435.10693942752
"146",1232.66517842344,1364.81527092665
"147",967.435278501669,986.904685990083
"148",1109.20049326948,1108.98283909413
"149",1082.10326461172,1161.532955473
"150",946.480562349934,1006.5535036565
"151",1100.46200177529,1359.37136807461
